Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_price,Price,kilometers_driven_log,price_log,CarAge,Brand,Model
Mercedes-Benz GLE 250d,Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,78.76,56.0,9.95227771670556,4.02535169073515,2016,MERCEDES-BENZ,GLE250d
Honda Jazz 1.2 VX i VTEC,Chennai,2016,23280,Petrol,Manual,First,18.7,1199.0,88.7,5.0,,6.5,10.055349901845375,1.8718021769015913,2016,HONDA,Jazz1.2
Maruti Swift Dzire VDI,Pune,2013,88000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,,4.75,11.385092093460344,1.55814461804655,2013,MARUTI,SwiftDzire
Hyundai Verna 1.6 SX VTVT,Hyderabad,2014,67000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,,5.6,11.112447898373103,1.7227665977411035,2014,HYUNDAI,Verna1.6
Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,2017,59636,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,,29.2,10.99601469754829,3.374168709274236,2017,FORD,Endeavour3.2
Hyundai i20 1.2 Asta Option,Kolkata,2018,11000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,,6.35,9.305650551780507,1.8484548129046001,2018,HYUNDAI,i201.2
Honda City 1.5 V MT Sunroof,Mumbai,2013,60669,Petrol,Manual,First,16.8,1497.0,116.3,5.0,,4.95,11.013188138189658,1.599387576580599,2013,HONDA,City1.5
Honda Amaze VX Diesel,Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,10.34,8.5,9.392661928770137,2.1400661634962708,2018,HONDA,AmazeVX
Hyundai Verna 1.6 SX VTVT (O),Kolkata,2013,35000,Petrol,Manual,First,17.1,1591.0,121.3,5.0,,4.5,10.46310334047155,1.5040773967762742,2013,HYUNDAI,Verna1.6
Honda Mobilio S i DTEC,Chennai,2015,65000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,,5.5,11.082142548877775,1.7047480922384253,2015,HONDA,MobilioS
Maruti Ertiga ZDI,Kochi,2013,39929,Diesel,Manual,First,20.77,1248.0,88.8,7.0,12.54,6.56,10.594858155916969,1.8809906029559975,2013,MARUTI,ErtigaZDI
Maruti Alto K10 LXI,Pune,2014,49000,Petrol,Manual,First,24.07,998.0,67.1,5.0,4.29,2.3,10.799575577092764,0.8329091229351039,2014,MARUTI,AltoK10
Toyota Qualis FS B2,Pune,2004,77757,Diesel,Manual,Second,13.1,2446.0,75.0,10.0,,3.5,11.26134385814317,1.252762968495368,2004,TOYOTA,QualisFS
Hyundai i10 Sportz,Kochi,2016,21456,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,4.55,9.97375960552146,1.5151272329628591,2016,HYUNDAI,i10Sportz
Skoda Laura 1.9 TDI AT Ambiente,Bangalore,2009,74000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,,7.75,11.211820372186306,2.0476928433652555,2009,SKODA,Laura1.9
Hyundai i20 Asta Option 1.2,Mumbai,2015,37000,Petrol,Manual,Second,18.6,1197.0,81.83,5.0,,5.25,10.51867319162636,1.6582280766035324,2015,HYUNDAI,i20Asta
BMW 5 Series 2003-2012 530d Highline,Coimbatore,2013,108640,Diesel,Automatic,First,11.5,2993.0,235.0,5.0,67.87,23.29,11.595794942792523,3.1480240838962494,2013,BMW,5Series
BMW 3 Series 320d M Sport,Mumbai,2016,38000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,54.43,23.99,10.545341438708522,3.177637076851603,2016,BMW,3Series
Chevrolet Aveo 1.4 LT ABS BSIV,Pune,2010,80000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,,1.79,11.289781913656018,0.5822156198526637,2010,CHEVROLET,Aveo1.4
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mumbai,2011,47000,Diesel,Automatic,Second,14.21,2143.0,203.0,5.0,,13.9,10.757902880692196,2.631888840136646,2011,MERCEDES-BENZ,E-Class2009-2013
Audi A6 2011-2015 2.0 TDI Premium Plus,Kolkata,2013,31000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,,18.95,10.341742483467284,2.9418039315284354,2013,AUDI,A62011-2015
Maruti Wagon R LXI BS IV,Kolkata,2014,40000,Petrol,Manual,First,20.51,998.0,67.04,5.0,5.51,2.49,10.596634733096073,0.9122827104766164,2014,MARUTI,WagonR
Renault KWID RXT,Jaipur,2016,4152,Petrol,Manual,First,25.17,799.0,53.3,5.0,4.78,3.15,8.331345424845724,1.1474024528375417,2016,RENAULT,KWIDRXT
Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,Diesel,Manual,First,21.66,1498.0,108.62,5.0,10.04,6.45,10.839580911706463,1.864080130807681,2017,VOLKSWAGEN,Ameo1.5
Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,2013,55000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,4.25,10.915088464214607,1.4469189829363254,2013,VOLKSWAGEN,PoloDiesel
Maruti Alto 800 LXI,Hyderabad,2014,58500,Petrol,Manual,First,22.74,796.0,47.3,5.0,,2.75,10.976782033219948,1.0116009116784799,2014,MARUTI,Alto800
Hyundai i20 Asta Option 1.2,Kochi,2017,58620,Petrol,Manual,First,18.6,1197.0,81.83,5.0,,7.14,10.978831214264883,1.965712776351493,2017,HYUNDAI,i20Asta
Toyota Etios Liva G,Mumbai,2012,29605,Petrol,Manual,First,18.3,1197.0,67.08,5.0,7.05,2.44,10.295698544965877,0.8919980393051105,2012,TOYOTA,EtiosLiva
Hyundai i20 1.2 Sportz,Jaipur,2012,71172,Petrol,Manual,Third,17.0,1197.0,80.0,5.0,,3.5,11.172854761626727,1.252762968495368,2012,HYUNDAI,i201.2
Hyundai i20 1.4 Asta,Chennai,2017,12000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,,7.3,9.392661928770137,1.9878743481543455,2017,HYUNDAI,i201.4
Maruti Wagon R LXI Optional,Kolkata,2014,25000,Petrol,Manual,First,20.51,998.0,67.04,5.0,5.51,2.75,10.126631103850338,1.0116009116784799,2014,MARUTI,WagonR
Hyundai i20 1.4 Asta Option,Bangalore,2017,43000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,,8.2,10.668955394675699,2.1041341542702074,2017,HYUNDAI,i201.4
Volkswagen Polo GT TSI,Mumbai,2015,57022,Petrol,Automatic,First,17.21,1197.0,103.6,5.0,11.26,6.51,10.951192437263671,1.873339456220478,2015,VOLKSWAGEN,PoloGT
Ford Figo Diesel Titanium,Pune,2015,92000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,,4.25,11.429543856031177,1.4469189829363254,2015,FORD,FigoDiesel
Maruti Swift ZXI,Coimbatore,2014,33372,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,8.16,6.21,10.415472504021965,1.8261608959453874,2014,MARUTI,SwiftZXI
Hyundai Grand i10 CRDi Magna,Kochi,2016,52625,Diesel,Manual,First,24.0,1120.0,70.0,5.0,7.45,4.58,10.870946570984682,1.5216989981260935,2016,HYUNDAI,Grandi10
Mahindra Xylo H4,Chennai,2016,215000,Diesel,Manual,First,14.02,2179.0,118.3,7.0,11.67,7.5,12.2783933071098,2.0149030205422647,2016,MAHINDRA,XyloH4
Maruti Alto Green LXi (CNG),Delhi,2012,65537,CNG,Manual,First,26.83,796.0,38.4,5.0,,2.1,11.090370147631774,0.7419373447293773,2012,MARUTI,AltoGreen
Hyundai i10 Magna 1.1,Coimbatore,2014,60138,Petrol,Manual,First,19.81,1086.0,68.05,5.0,,4.09,11.004397200252921,1.4085449700547104,2014,HYUNDAI,i10Magna
Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2014,84000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,,10.75,11.33857207782545,2.3749057545736716,2014,SKODA,OctaviaElegance
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,47000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,,41.5,10.757902880692196,3.7256934272366524,2014,BMW,X52014-2019
Maruti Celerio VXI AT,Hyderabad,2014,33450,Petrol,Automatic,First,23.1,998.0,67.04,5.0,6.0,4.4,10.417807065556374,1.4816045409242156,2014,MARUTI,CelerioVXI
Volkswagen Vento Diesel Comfortline,Jaipur,2013,125000,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,,6.25,11.736069016284437,1.8325814637483102,2013,VOLKSWAGEN,VentoDiesel
BMW 3 Series 320d Highline,Pune,2011,99606,Diesel,Automatic,Second,16.07,1995.0,181.0,5.0,54.43,10.5,11.508977682722131,2.3513752571634776,2011,BMW,3Series
Maruti Ertiga ZDI,Mumbai,2014,64000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,12.54,7.25,11.06663836234181,1.9810014688665833,2014,MARUTI,ErtigaZDI
Ford Figo Diesel ZXI,Hyderabad,2013,51000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,,3.2,10.839580911706463,1.1631508098056809,2013,FORD,FigoDiesel
Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,57000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,,3.95,10.950806546816688,1.3737155789130306,2014,VOLKSWAGEN,Polo1.2
Audi A6 3.0 TDI quattro,Coimbatore,2009,48040,Diesel,Automatic,Second,16.77,2967.0,241.38,5.0,,12.07,10.77978927619392,2.4907230351094403,2009,AUDI,A63.0
Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,Diesel,Manual,First,13.68,2393.0,147.8,7.0,25.52,18.6,10.673595774232203,2.9231615807191558,2017,TOYOTA,InnovaCrysta
Hyundai Verna 1.6 CRDi EX AT,Delhi,2013,66000,Diesel,Automatic,First,22.32,1582.0,126.3,5.0,,5.7,11.097410021008562,1.7404661748405046,2013,HYUNDAI,Verna1.6
Hyundai Santro Xing GL Plus,Kolkata,2013,31000,Petrol,Manual,First,17.92,1086.0,62.1,5.0,,1.75,10.341742483467284,0.5596157879354227,2013,HYUNDAI,SantroXing
Audi A4 2.0 TDI,Delhi,2011,46000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,,10.99,10.736396675471232,2.39698576841553,2011,AUDI,A42.0
Audi A4 2.0 TDI,Kolkata,2012,47346,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,,14.5,10.76523761774909,2.6741486494265287,2012,AUDI,A42.0
Skoda Laura 1.9 TDI MT Ambiente,Jaipur,2009,100000,Diesel,Manual,First,17.0,1896.0,105.0,5.0,,3.11,11.512925464970229,1.1346227261911428,2009,SKODA,Laura1.9
Honda CR-V 2.0L 2WD AT,Coimbatore,2015,63856,Petrol,Automatic,First,13.7,1997.0,153.86,5.0,,13.96,11.064385827288515,2.6361960973342264,2015,HONDA,CR-V2.0L
Hyundai Verna 1.6 SX CRDi (O),Coimbatore,2015,72996,Diesel,Manual,First,22.32,1582.0,126.32,5.0,,7.11,11.198159924108706,1.9615022438151495,2015,HYUNDAI,Verna1.6
Honda Mobilio RS i DTEC,Chennai,2014,23000,Diesel,Manual,First,24.5,1498.0,98.6,7.0,,6.9,10.043249494911286,1.9315214116032138,2014,HONDA,MobilioRS
Hyundai i20 1.2 Asta Option,Coimbatore,2018,15985,Petrol,Manual,First,18.6,1197.0,81.83,5.0,,7.77,9.679406061493943,2.050270164379556,2018,HYUNDAI,i201.2
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,2011,98000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,,5.5,11.49272275765271,1.7047480922384253,2011,TOYOTA,Innova2.5
Hyundai i20 Magna 1.2,Hyderabad,2014,70089,Petrol,Manual,First,18.6,1197.0,81.83,5.0,,5.35,11.157521142022066,1.6770965609079151,2014,HYUNDAI,i20Magna
Mahindra Bolero VLX BS IV,Chennai,2011,99000,Diesel,Manual,Second,13.6,2523.0,63.0,7.0,,4.5,11.502875129116727,1.5040773967762742,2011,MAHINDRA,BoleroVLX
Volkswagen Vento 1.5 TDI Comfortline,Jaipur,2014,72000,Diesel,Manual,First,20.34,1498.0,103.2,5.0,14.32,4.75,11.184421397998193,1.55814461804655,2014,VOLKSWAGEN,Vento1.5
Jaguar XF 2.2 Litre Luxury,Coimbatore,2015,44194,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,,32.8,10.696344312245051,3.490428515390098,2015,JAGUAR,XF2.2
Maruti Zen LXi - BS III,Mumbai,2005,102000,Petrol,Manual,First,17.3,993.0,60.0,5.0,,0.7,11.532728092266408,-0.35667494393873245,2005,MARUTI,ZenLXi
Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,Diesel,Automatic,First,13.0,2987.0,258.0,5.0,,50.29,10.944682570334287,3.9178062501838733,2018,MERCEDES-BENZ,E-ClassFacelift
Toyota Fortuner 3.0 Diesel,Mumbai,2010,41650,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,,10.99,10.637056647594989,2.39698576841553,2010,TOYOTA,Fortuner3.0
Hyundai Grand i10 AT Asta,Coimbatore,2015,61717,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,7.45,5.57,11.030314698685258,1.7173950539391927,2015,HYUNDAI,Grandi10
Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,Diesel,Manual,First,25.4,1186.0,73.97,5.0,8.56,5.9,10.138638722974616,1.7749523509116738,2018,HYUNDAI,Xcent1.2
Hyundai Creta 1.6 VTVT S,Coimbatore,2016,47016,Petrol,Manual,First,15.29,1591.0,121.3,5.0,16.06,9.43,10.758243248292487,2.2438960966453663,2016,HYUNDAI,Creta1.6
Hyundai i10 Sportz,Bangalore,2010,69000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.9,11.141861783579396,1.0647107369924282,2010,HYUNDAI,i10Sportz
Honda Brio S MT,Delhi,2016,32700,Petrol,Manual,First,19.4,1198.0,86.8,5.0,,3.68,10.395130356885344,1.3029127521808397,2016,HONDA,BrioS
Toyota Fortuner 4x2 AT,Coimbatore,2015,101337,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,,21.67,11.526206875276143,3.075928815548268,2015,TOYOTA,Fortuner4x2
Audi A4 2.0 TDI Multitronic,Ahmedabad,2011,59000,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,,12.5,10.985292722887856,2.5257286443082556,2011,AUDI,A42.0
Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,27.0,19.92,10.639119344702229,2.991724252156452,2018,TOYOTA,InnovaCrysta
Honda City i DTEC VX,Jaipur,2014,71649,Diesel,Manual,First,25.1,1498.0,98.6,5.0,,6.75,11.179534476424797,1.9095425048844386,2014,HONDA,Cityi
Honda City i DTEC VX,Kochi,2015,80606,Diesel,Manual,First,25.1,1498.0,98.6,5.0,,6.96,11.297328367411419,1.9401794743463283,2015,HONDA,Cityi
Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,Petrol,Manual,First,21.7,999.0,67.0,5.0,4.78,3.25,11.055040111914732,1.1786549963416462,2017,RENAULT,KWID1.0
Maruti Swift DDiS ZDI Plus,Hyderabad,2018,5456,Diesel,Manual,First,28.4,1248.0,74.0,5.0,,8.65,8.604471199523298,2.157559320943788,2018,MARUTI,SwiftDDiS
Maruti Celerio VXI Optional AMT,Pune,2017,7500,Petrol,Automatic,First,23.1,998.0,67.04,5.0,6.14,5.0,8.922658299524402,1.6094379124341003,2017,MARUTI,CelerioVXI
Mahindra XUV500 W8 2WD,Delhi,2011,66000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,5.5,11.097410021008562,1.7047480922384253,2011,MAHINDRA,XUV500W8
Hyundai i10 Magna,Jaipur,2010,66770,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,,2.6,11.109009156851915,0.9555114450274363,2010,HYUNDAI,i10Magna
Hyundai i10 Magna 1.1,Kochi,2014,58472,Petrol,Manual,First,19.81,1086.0,68.05,5.0,,3.41,10.976303286160228,1.2267122912954254,2014,HYUNDAI,i10Magna
Maruti Dzire VXI,Kolkata,2011,46687,Petrol,Manual,First,22.0,1197.0,81.8,5.0,7.3,2.7,10.75122103231314,0.9932517730102834,2011,MARUTI,DzireVXI
Maruti Grand Vitara AT,Chennai,2008,77000,Petrol,Automatic,Fourth & Above,9.7,1995.0,163.5,5.0,,5.5,11.251560700835821,1.7047480922384253,2008,MARUTI,GrandVitara
Audi TT 40 TFSI,Kolkata,2012,7000,Petrol,Automatic,First,14.33,1984.0,226.6,4.0,,35.0,8.85366542803745,3.5553480614894135,2012,AUDI,TT40
Mercedes-Benz New C-Class C 200 CGI,Mumbai,2011,48000,Petrol,Automatic,Second,14.74,1991.0,184.0,5.0,49.49,9.75,10.778956289890028,2.277267285009756,2011,MERCEDES-BENZ,NewC-Class
Nissan Sunny 2011-2014 Diesel XV,Mumbai,2013,47000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,,4.25,10.757902880692196,1.4469189829363254,2013,NISSAN,Sunny2011-2014
Maruti Wagon R LXI,Ahmedabad,2015,51530,Petrol,Manual,First,18.9,998.0,67.1,5.0,5.51,3.2,10.84991944132227,1.1631508098056809,2015,MARUTI,WagonR
Maruti Swift Dzire ZDI,Bangalore,2014,25789,Diesel,Manual,Second,23.4,1248.0,74.0,5.0,,6.85,10.157703323404748,1.9242486522741338,2014,MARUTI,SwiftDzire
Honda Amaze S i-Dtech,Delhi,2015,48000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,8.045,4.5,10.778956289890028,1.5040773967762742,2015,HONDA,AmazeS
Maruti Swift ZDI,Delhi,2012,52000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,,3.55,10.858998997563564,1.2669476034873244,2012,MARUTI,SwiftZDI
Hyundai Accent Executive CNG,Hyderabad,2010,95637,CNG,Manual,Second,13.2,1495.0,93.7,5.0,,1.9,11.46831505345168,0.6418538861723947,2010,HYUNDAI,AccentExecutive
Mahindra Scorpio LX 2.6 Turbo,Hyderabad,2008,131000,Diesel,Manual,First,10.5,2609.0,120.0,7.0,,3.6,11.782952602183288,1.2809338454620642,2008,MAHINDRA,ScorpioLX
Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,42076,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,,21.8,10.647232785859165,3.0819099697950434,2015,MERCEDES-BENZ,E-ClassE250
Toyota Fortuner 4x2 Manual,Mumbai,2012,76000,Diesel,Manual,Second,13.0,2982.0,168.5,7.0,,13.5,11.238488619268468,2.6026896854443837,2012,TOYOTA,Fortuner4x2
Datsun redi-GO T Option,Bangalore,2016,20487,Petrol,Manual,First,22.7,799.0,53.64,5.0,4.37,2.66,9.927545817629198,0.9783261227936078,2016,DATSUN,redi-GOT
Honda City V MT,Delhi,2010,43000,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,,3.75,10.668955394675699,1.3217558399823195,2010,HONDA,CityV
Toyota Camry Hybrid,Pune,2018,17000,Petrol,Automatic,First,19.16,2494.0,158.2,5.0,40.62,32.0,9.740968623038354,3.4657359027997265,2018,TOYOTA,CamryHybrid
Honda City i DTec V,Coimbatore,2016,60805,Diesel,Manual,First,26.0,1498.0,98.6,5.0,,8.07,11.0154273014151,2.0881534822818573,2016,HONDA,Cityi
Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Kochi,2012,58775,Diesel,Manual,First,19.33,1968.0,138.1,5.0,,5.64,10.981471873408271,1.7298840655099674,2012,VOLKSWAGEN,Jetta2012-2014
Audi A6 2011-2015 2.0 TDI,Hyderabad,2013,70181,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,,23.99,11.1588328981095,3.177637076851603,2013,AUDI,A62011-2015
Maruti Ertiga VDI,Coimbatore,2016,85827,Diesel,Manual,First,20.77,1248.0,88.76,7.0,11.215,7.5,11.3600889212877,2.0149030205422647,2016,MARUTI,ErtigaVDI
Mercedes-Benz New C-Class C 220 CDI Style,Jaipur,2016,58205,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,49.49,27.0,10.971726540682342,3.295836866004329,2016,MERCEDES-BENZ,NewC-Class
Maruti Swift Dzire Vdi BSIV,Mumbai,2008,91000,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,,2.85,11.418614785498987,1.0473189942805592,2008,MARUTI,SwiftDzire
Renault Duster 110PS Diesel RxZ Pack,Pune,2012,74000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,15.05,6.35,11.211820372186306,1.8484548129046001,2012,RENAULT,Duster110PS
Maruti Ritz VDi,Hyderabad,2010,79324,Diesel,Manual,First,21.1,1248.0,73.9,5.0,,3.3,11.28129601000572,1.1939224684724346,2010,MARUTI,RitzVDi
Maruti Swift Dzire VXI,Bangalore,2013,38623,Petrol,Manual,First,19.1,1197.0,85.8,5.0,,5.0,10.561603232924144,1.6094379124341003,2013,MARUTI,SwiftDzire
Maruti Swift ZDi,Coimbatore,2014,59923,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,6.46,11.000815683693476,1.8656293177945105,2014,MARUTI,SwiftZDi
Hyundai EON Sportz,Jaipur,2017,23360,Petrol,Manual,First,21.1,814.0,55.2,5.0,,3.75,10.058780436942163,1.3217558399823195,2017,HYUNDAI,EONSportz
Maruti Zen VXI BSII,Kochi,2003,61495,Petrol,Manual,Third,17.3,993.0,60.0,5.0,,1.52,11.02671114967651,0.41871033485818504,2003,MARUTI,ZenVXI
Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,Petrol,Manual,First,15.1,1196.0,73.0,7.0,4.98,3.61,10.944841422363956,1.2837077723447896,2012,MARUTI,Eeco7
Audi Q5 30 TDI quattro Premium,Coimbatore,2017,40318,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,,43.74,10.604553298340369,3.778263015248622,2017,AUDI,Q530
Audi Q3 2.0 TDI,Chennai,2014,60000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,,20.0,11.002099841204238,2.995732273553991,2014,AUDI,Q32.0
Smart Fortwo CDI AT,Pune,2008,103000,Diesel,Automatic,Second,0.0,799.0,93.7,2.0,,3.0,11.542484267211773,1.0986122886681098,2008,SMART,FortwoCDI
Maruti Swift Dzire VDi,Hyderabad,2010,130000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,,3.65,11.77528972943772,1.2947271675944,2010,MARUTI,SwiftDzire
Tata Sumo DX,Mumbai,2013,20000,Diesel,Manual,First,14.07,1978.0,83.1,10.0,,5.25,9.903487552536127,1.6582280766035324,2013,TATA,SumoDX
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Hyderabad,2016,76000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,,58.0,11.238488619268468,4.060443010546419,2016,BMW,X52014-2019
Honda City i-VTEC CVT VX,Mumbai,2015,30000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,15.29,8.65,10.308952660644293,2.157559320943788,2015,HONDA,Cityi-VTEC
Tata Indigo eCS eLX BS IV,Delhi,2015,150000,Diesel,Manual,First,25.0,1396.0,69.01,5.0,,2.5,11.918390573078392,0.9162907318741551,2015,TATA,IndigoeCS
Volkswagen Vento TSI,Chennai,2014,28000,Petrol,Automatic,First,16.93,1197.0,103.6,5.0,,7.75,10.239959789157341,2.0476928433652555,2014,VOLKSWAGEN,VentoTSI
Maruti Celerio VXI,Bangalore,2015,74000,Petrol,Manual,First,23.1,998.0,67.04,5.0,6.0,4.15,11.211820372186306,1.423108334242607,2015,MARUTI,CelerioVXI
Toyota Fortuner 3.0 Diesel,Delhi,2011,75000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,,10.85,11.225243392518447,2.3841650799864684,2011,TOYOTA,Fortuner3.0
Mitsubishi Outlander 2.4,Delhi,2010,76000,Petrol,Automatic,Second,11.3,2360.0,170.0,5.0,,5.53,11.238488619268468,1.7101878155342434,2010,MITSUBISHI,Outlander2.4
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Pune,2014,64889,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,,11.5,11.080433396801446,2.4423470353692043,2014,VOLKSWAGEN,Jetta2007-2011
Porsche Cayman 2009-2012 S,Hyderabad,2010,10000,Petrol,Manual,First,9.0,3436.0,93.7,2.0,,40.0,9.210340371976184,3.6888794541139363,2010,PORSCHE,Cayman2009-2012
Hyundai Creta 1.6 CRDi SX,Kolkata,2015,43000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,16.06,9.25,10.668955394675699,2.224623551524334,2015,HYUNDAI,Creta1.6
Skoda Fabia 1.2 MPI Ambiente Petrol,Pune,2011,47490,Petrol,Manual,First,17.5,1198.0,75.0,5.0,,2.29,10.768274441543168,0.8285518175661483,2011,SKODA,Fabia1.2
Ford EcoSport 1.5 TDCi Titanium,Chennai,2015,80000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,11.475000000000001,7.0,11.289781913656018,1.9459101490553132,2015,FORD,EcoSport1.5
Maruti Zen Estilo 1.1 LXI BSIII,Bangalore,2007,60000,Petrol,Manual,Second,18.2,1061.0,64.0,5.0,,1.65,11.002099841204238,0.5007752879124892,2007,MARUTI,ZenEstilo
Maruti Ciaz 1.4 Delta,Ahmedabad,2017,6006,Petrol,Manual,First,20.73,1373.0,91.1,5.0,,8.25,8.700514248543275,2.1102132003465894,2017,MARUTI,Ciaz1.4
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,71703,Petrol,Automatic,First,14.74,1991.0,181.03,5.0,49.49,9.14,11.180287866716585,2.2126603854660587,2011,MERCEDES-BENZ,NewC-Class
Honda Amaze SX i-VTEC,Hyderabad,2016,33000,Petrol,Manual,First,17.8,1198.0,86.7,5.0,,6.5,10.404262840448617,1.8718021769015913,2016,HONDA,AmazeSX
Toyota Etios GD,Kolkata,2012,60000,Diesel,Manual,First,23.59,1364.0,67.05,5.0,,2.95,11.002099841204238,1.0818051703517284,2012,TOYOTA,EtiosGD
Renault Duster 85PS Diesel RxL,Jaipur,2015,91000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,12.175,5.75,11.418614785498987,1.749199854809259,2015,RENAULT,Duster85PS
Maruti Wagon R LXI LPG BSIV,Hyderabad,2012,72000,LPG,Manual,First,26.2,998.0,58.2,5.0,5.51,2.85,11.184421397998193,1.0473189942805592,2012,MARUTI,WagonR
Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,43000,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,,2.1,10.668955394675699,0.7419373447293773,2011,VOLKSWAGEN,PoloPetrol
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,2017,63770,Diesel,Manual,First,19.67,1582.0,126.2,5.0,16.06,13.55,11.063038139309317,2.60638654732571,2017,HYUNDAI,Creta1.6
Jaguar XF Diesel,Kolkata,2012,43510,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,,20.5,10.680746075714726,3.0204248861443626,2012,JAGUAR,XFDiesel
Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,Diesel,Manual,First,16.3,1956.0,170.0,5.0,24.26,20.0,10.858998997563564,2.995732273553991,2017,JEEP,Compass2.0
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,Diesel,Automatic,First,15.68,1999.0,177.0,5.0,75.12,59.72,10.355422675029144,4.089666972670989,2018,LAND,RoverRange
Maruti Baleno Alpha Diesel,Kolkata,2016,29000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,9.53,6.5,10.275051108968611,1.8718021769015913,2016,MARUTI,BalenoAlpha
Maruti Ciaz ZDi SHVS,Ahmedabad,2016,56000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,,7.5,10.933106969717286,2.0149030205422647,2016,MARUTI,CiazZDi
